bootstrap_draw,total_event_copies
0,778
1,630
2,727
3,655
4,805
5,646
6,662
7,739
8,750
9,671
10,626
11,704
12,698
13,706
14,670
15,723
16,734
17,650
18,757
19,616
20,732
21,687
22,667
23,697
24,646
25,711
26,702
27,658
28,671
29,685
30,698
31,796
32,646
33,754
34,748
35,629
36,767
37,705
38,719
39,678
40,677
41,674
42,704
43,657
44,690
45,674
46,705
47,795
48,678
49,722
50,679
51,643
52,640
53,739
54,736
55,739
56,745
57,651
58,663
59,700
60,750
61,598
62,654
63,684
64,649
65,788
66,711
67,790
68,725
69,604
70,691
71,712
72,674
73,597
74,746
75,677
76,692
77,732
78,710
79,669
80,650
81,691
82,721
83,697
84,682
85,697
86,611
87,712
88,726
89,738
90,726
91,674
92,771
93,729
94,670
95,634
96,617
97,703
98,675
99,670
100,775
101,686
102,713
103,723
104,812
105,683
106,727
107,652
108,708
109,733
110,731
111,693
112,697
113,764
114,735
115,667
116,722
117,678
118,657
119,707
120,642
121,711
122,766
123,748
124,627
125,755
126,723
127,707
128,747
129,657
130,587
131,679
132,811
133,768
134,602
135,602
136,707
137,738
138,776
139,675
140,703
141,690
142,732
143,745
144,663
145,714
146,653
147,603
148,611
149,696
150,699
151,609
152,745
153,784
154,672
155,651
156,642
157,711
158,676
159,680
160,685
161,707
162,674
163,678
164,741
165,740
166,664
167,676
168,708
169,796
170,729
171,720
172,698
173,638
174,728
175,681
176,679
177,702
178,731
179,661
180,700
181,743
182,654
183,704
184,720
185,675
186,813
187,694
188,693
189,750
190,684
191,688
192,635
193,701
194,704
195,619
196,712
197,727
198,709
199,752
200,724
201,774
202,699
203,790
204,673
205,689
206,673
207,720
208,692
209,659
210,688
211,686
212,700
213,751
214,718
215,734
216,728
217,627
218,720
219,656
220,754
221,749
222,694
223,767
224,718
225,677
226,690
227,685
228,680
229,685
230,728
231,726
232,666
233,773
234,676
235,721
236,790
237,701
238,736
239,628
240,663
241,767
242,679
243,613
244,690
245,870
246,694
247,625
248,774
249,720
250,739
251,773
252,747
253,702
254,648
255,667
256,700
257,675
258,645
259,652
260,772
261,657
262,662
263,702
264,675
265,702
266,623
267,711
268,618
269,741
270,644
271,634
272,647
273,701
274,705
275,709
276,664
277,638
278,710
279,691
280,660
281,805
282,780
283,691
284,786
285,681
286,685
287,630
288,712
289,671
290,674
291,749
292,632
293,638
294,705
295,732
296,719
297,608
298,615
299,718
300,644
301,593
302,639
303,654
304,748
305,744
306,734
307,659
308,685
309,716
310,734
311,704
312,621
313,740
314,724
315,718
316,714
317,693
318,640
319,607
320,670
321,665
322,706
323,671
324,642
325,632
326,648
327,769
328,742
329,617
330,644
331,741
332,725
333,658
334,755
335,638
336,808
337,848
338,711
339,658
340,712
341,891
342,752
343,672
344,687
345,689
346,735
347,690
348,694
349,743
350,700
351,731
352,642
353,717
354,650
355,626
356,728
357,646
358,689
359,721
360,681
361,692
362,756
363,736
364,741
365,646
366,791
367,684
368,691
369,815
370,739
371,668
372,633
373,732
374,796
375,717
376,717
377,685
378,739
379,680
380,729
381,726
382,676
383,707
384,764
385,737
386,728
387,746
388,717
389,743
390,608
391,706
392,700
393,723
394,667
395,772
396,648
397,727
398,662
399,668
400,591
401,698
402,691
403,703
404,610
405,801
406,704
407,711
408,599
409,723
410,685
411,673
412,710
413,734
414,778
415,678
416,686
417,640
418,777
419,720
420,664
421,764
422,681
423,709
424,693
425,735
426,714
427,772
428,725
429,649
430,719
431,723
432,733
433,646
434,788
435,762
436,729
437,662
438,608
439,736
440,698
441,661
442,766
443,588
444,664
445,770
446,661
447,647
448,725
449,683
450,741
451,691
452,800
453,679
454,723
455,710
456,637
457,778
458,714
459,696
460,749
461,671
462,646
463,699
464,741
465,778
466,714
467,740
468,714
469,711
470,619
471,644
472,687
473,748
474,719
475,601
476,708
477,734
478,749
479,653
480,634
481,644
482,708
483,767
484,701
485,767
486,637
487,682
488,691
489,774
490,768
491,767
492,588
493,719
494,755
495,674
496,725
497,595
498,715
499,643
500,683
501,739
502,703
503,722
504,701
505,784
506,639
507,635
508,760
509,708
510,777
511,695
512,722
513,728
514,825
515,711
516,682
517,709
518,738
519,731
520,639
521,617
522,678
523,712
524,658
525,713
526,721
527,689
528,647
529,679
530,638
531,688
532,716
533,664
534,712
535,740
536,702
537,766
538,750
539,654
540,656
541,699
542,763
543,679
544,710
545,713
546,734
547,667
548,662
549,707
550,657
551,653
552,662
553,769
554,758
555,739
556,581
557,816
558,620
559,678
560,658
561,689
562,680
563,667
564,767
565,727
566,670
567,707
568,647
569,705
570,817
571,723
572,707
573,758
574,720
575,732
576,682
577,706
578,689
579,731
580,597
581,658
582,683
583,710
584,758
585,679
586,714
587,726
588,731
589,712
590,668
591,703
592,659
593,679
594,698
595,733
596,668
597,711
598,750
599,662
600,756
601,694
602,616
603,733
604,671
605,628
606,738
607,731
608,723
609,684
610,616
611,760
612,650
613,816
614,637
615,636
616,797
617,675
618,775
619,688
620,763
621,760
622,734
623,820
624,629
625,672
626,641
627,666
628,786
629,712
630,730
631,718
632,768
633,699
634,717
635,659
636,648
637,721
638,706
639,721
640,763
641,711
642,716
643,666
644,686
645,709
646,752
647,648
648,701
649,692
650,714
651,689
652,610
653,735
654,650
655,638
656,766
657,658
658,751
659,636
660,668
661,741
662,668
663,655
664,690
665,772
666,698
667,721
668,617
669,739
670,655
671,752
672,734
673,674
674,690
675,694
676,649
677,721
678,681
679,732
680,684
681,621
682,657
683,666
684,624
685,635
686,663
687,558
688,681
689,608
690,694
691,622
692,741
693,718
694,689
695,700
696,731
697,703
698,803
699,809
700,692
701,693
702,622
703,705
704,649
705,703
706,748
707,655
708,764
709,662
710,666
711,761
712,670
713,742
714,625
715,732
716,648
717,743
718,683
719,697
720,707
721,703
722,674
723,774
724,661
725,737
726,704
727,645
728,727
729,709
730,711
731,644
732,706
733,717
734,720
735,672
736,730
737,722
738,667
739,714
740,694
741,682
742,704
743,715
744,763
745,687
746,668
747,680
748,670
749,706
750,628
751,798
752,730
753,703
754,713
755,730
756,822
757,775
758,704
759,659
760,672
761,636
762,711
763,747
764,659
765,712
766,610
767,677
768,711
769,733
770,735
771,692
772,661
773,678
774,736
775,753
776,737
777,688
778,708
779,645
780,688
781,708
782,714
783,735
784,705
785,694
786,743
787,644
788,705
789,675
790,650
791,709
792,686
793,684
794,683
795,672
796,645
797,743
798,752
799,663
800,693
801,770
802,750
803,630
804,824
805,668
806,712
807,677
808,613
809,666
810,666
811,717
812,757
813,746
814,625
815,618
816,680
817,628
818,670
819,650
820,726
821,682
822,693
823,665
824,698
825,712
826,676
827,714
828,764
829,663
830,724
831,763
832,715
833,675
834,613
835,746
836,649
837,624
838,660
839,693
840,754
841,757
842,727
843,694
844,691
845,747
846,714
847,593
848,811
849,720
850,783
851,761
852,643
853,744
854,606
855,589
856,732
857,700
858,666
859,767
860,667
861,677
862,689
863,703
864,651
865,687
866,657
867,725
868,770
869,689
870,662
871,676
872,651
873,687
874,612
875,711
876,620
877,649
878,787
879,745
880,693
881,725
882,776
883,677
884,688
885,651
886,610
887,711
888,622
889,630
890,742
891,644
892,728
893,704
894,651
895,694
896,625
897,764
898,663
899,668
900,671
901,727
902,744
903,683
904,628
905,716
906,688
907,687
908,669
909,703
910,767
911,738
912,750
913,677
914,731
915,862
916,677
917,687
918,699
919,697
920,647
921,767
922,672
923,735
924,730
925,663
926,706
927,720
928,661
929,665
930,701
931,657
932,724
933,642
934,724
935,654
936,760
937,658
938,724
939,744
940,698
941,680
942,704
943,683
944,784
945,732
946,663
947,727
948,704
949,678
950,731
951,636
952,731
953,713
954,625
955,734
956,672
957,728
958,727
959,728
960,742
961,767
962,656
963,725
964,676
965,704
966,697
967,771
968,663
969,687
970,612
971,715
972,600
973,689
974,721
975,678
976,769
977,737
978,687
979,712
980,665
981,739
982,688
983,737
984,636
985,631
986,773
987,717
988,612
989,655
990,766
991,674
992,658
993,768
994,775
995,738
996,667
997,626
998,622
999,775
1000,712
1001,702
1002,704
1003,728
1004,663
1005,698
1006,699
1007,706
1008,687
1009,674
1010,650
1011,788
1012,767
1013,657
1014,645
1015,709
1016,703
1017,700
1018,708
1019,661
1020,640
1021,712
1022,708
1023,645
1024,736
1025,714
1026,653
1027,748
1028,745
1029,770
1030,729
1031,660
1032,649
1033,705
1034,734
1035,690
1036,702
1037,732
1038,717
1039,659
1040,728
1041,708
1042,618
1043,665
1044,650
1045,650
1046,808
1047,658
1048,656
1049,689
1050,719
1051,688
1052,649
1053,643
1054,775
1055,691
1056,680
1057,655
1058,649
1059,576
1060,709
1061,648
1062,670
1063,739
1064,701
1065,694
1066,796
1067,705
1068,740
1069,640
1070,747
1071,721
1072,663
1073,676
1074,760
1075,704
1076,662
1077,606
1078,735
1079,695
1080,635
1081,743
1082,773
1083,667
1084,697
1085,699
1086,690
1087,822
1088,718
1089,679
1090,632
1091,762
1092,668
1093,723
1094,670
1095,710
1096,636
1097,701
1098,644
1099,697
1100,684
1101,741
1102,631
1103,688
1104,734
1105,650
1106,729
1107,703
1108,674
1109,729
1110,667
1111,649
1112,706
1113,683
1114,698
1115,705
1116,689
1117,739
1118,715
1119,686
1120,654
1121,686
1122,655
1123,681
1124,650
1125,706
1126,754
1127,709
1128,679
1129,746
1130,699
1131,658
1132,768
1133,694
1134,735
1135,700
1136,616
1137,721
1138,707
1139,691
1140,651
1141,679
1142,758
1143,766
1144,600
1145,680
1146,661
1147,724
1148,606
1149,715
1150,740
1151,650
1152,668
1153,737
1154,695
1155,708
1156,651
1157,678
1158,722
1159,733
1160,674
1161,683
1162,749
1163,640
1164,681
1165,649
1166,698
1167,633
1168,658
1169,727
1170,750
1171,740
1172,750
1173,716
1174,772
1175,653
1176,675
1177,698
1178,669
1179,576
1180,651
1181,747
1182,651
1183,673
1184,769
1185,656
1186,705
1187,668
1188,683
1189,750
1190,719
1191,671
1192,789
1193,628
1194,663
1195,716
1196,732
1197,656
1198,678
1199,706
1200,641
1201,689
1202,631
1203,727
1204,666
1205,714
1206,745
1207,587
1208,666
1209,672
1210,745
1211,631
1212,659
1213,753
1214,639
1215,676
1216,695
1217,757
1218,667
1219,702
1220,638
1221,810
1222,644
1223,672
1224,637
1225,655
1226,728
1227,726
1228,746
1229,710
1230,699
1231,718
1232,771
1233,665
1234,766
1235,694
1236,707
1237,742
1238,770
1239,687
1240,658
1241,645
1242,651
1243,729
1244,627
1245,582
1246,735
1247,655
1248,644
1249,692
1250,687
1251,736
1252,726
1253,718
1254,749
1255,640
1256,754
1257,689
1258,697
1259,675
1260,674
1261,628
1262,721
1263,678
1264,650
1265,685
1266,765
1267,587
1268,731
1269,634
1270,820
1271,662
1272,761
1273,703
1274,658
1275,732
1276,646
1277,828
1278,600
1279,682
1280,737
1281,670
1282,601
1283,703
1284,641
1285,722
1286,606
1287,808
1288,710
1289,752
1290,812
1291,711
1292,643
1293,757
1294,672
1295,729
1296,685
1297,652
1298,673
1299,784
1300,768
1301,669
1302,733
1303,673
1304,681
1305,650
1306,777
1307,883
1308,690
1309,682
1310,695
1311,642
1312,793
1313,607
1314,726
1315,627
1316,713
1317,606
1318,741
1319,730
1320,672
1321,729
1322,677
1323,839
1324,650
1325,674
1326,621
1327,677
1328,736
1329,678
1330,733
1331,681
1332,700
1333,703
1334,694
1335,717
1336,750
1337,649
1338,791
1339,595
1340,644
1341,611
1342,726
1343,769
1344,765
1345,736
1346,728
1347,743
1348,674
1349,697
1350,771
1351,666
1352,728
1353,651
1354,666
1355,605
1356,677
1357,705
1358,652
1359,662
1360,615
1361,679
1362,683
1363,714
1364,673
1365,692
1366,578
1367,647
1368,650
1369,626
1370,723
1371,691
1372,654
1373,687
1374,715
1375,692
1376,657
1377,603
1378,800
1379,788
1380,788
1381,678
1382,726
1383,711
1384,659
1385,714
1386,663
1387,760
1388,700
1389,764
1390,635
1391,671
1392,726
1393,775
1394,688
1395,765
1396,605
1397,718
1398,651
1399,657
1400,692
1401,706
1402,701
1403,644
1404,674
1405,776
1406,711
1407,592
1408,720
1409,645
1410,715
1411,672
1412,660
1413,705
1414,664
1415,679
1416,745
1417,720
1418,737
1419,649
1420,691
1421,691
1422,626
1423,700
1424,773
1425,658
1426,722
1427,783
1428,665
1429,750
1430,625
1431,742
1432,734
1433,633
1434,675
1435,695
1436,656
1437,606
1438,718
1439,680
1440,740
1441,649
1442,684
1443,632
1444,738
1445,776
1446,759
1447,700
1448,674
1449,724
1450,664
1451,660
1452,837
1453,619
1454,757
1455,728
1456,638
1457,676
1458,707
1459,673
1460,775
1461,662
1462,709
