forecast_origin_date,policy,eligible_candidates,capacity,selected,frozen_prioritized_list_exact,prioritized_list_rebuilt_for_scenario
2021-01-10,Multi-horizon ranking,2844,285,285,True,False
2021-01-10,Direct 60-day,2844,285,285,True,False
2021-01-24,Multi-horizon ranking,2842,285,285,True,False
2021-01-24,Direct 60-day,2842,285,285,True,False
2021-02-07,Multi-horizon ranking,2838,284,284,True,False
2021-02-07,Direct 60-day,2838,284,284,True,False
2021-02-21,Multi-horizon ranking,2838,284,284,True,False
2021-02-21,Direct 60-day,2838,284,284,True,False
2021-03-07,Multi-horizon ranking,2836,284,284,True,False
2021-03-07,Direct 60-day,2836,284,284,True,False
2021-03-21,Multi-horizon ranking,2835,284,284,True,False
2021-03-21,Direct 60-day,2835,284,284,True,False
2021-04-04,Multi-horizon ranking,2835,284,284,True,False
2021-04-04,Direct 60-day,2835,284,284,True,False
2021-04-18,Multi-horizon ranking,2834,284,284,True,False
2021-04-18,Direct 60-day,2834,284,284,True,False
2021-05-02,Multi-horizon ranking,2834,284,284,True,False
2021-05-02,Direct 60-day,2834,284,284,True,False
2021-05-16,Multi-horizon ranking,2833,284,284,True,False
2021-05-16,Direct 60-day,2833,284,284,True,False
2021-05-30,Multi-horizon ranking,2832,284,284,True,False
2021-05-30,Direct 60-day,2832,284,284,True,False
2021-06-13,Multi-horizon ranking,2830,283,283,True,False
2021-06-13,Direct 60-day,2830,283,283,True,False
2021-06-27,Multi-horizon ranking,2824,283,283,True,False
2021-06-27,Direct 60-day,2824,283,283,True,False
2021-07-11,Multi-horizon ranking,2820,282,282,True,False
2021-07-11,Direct 60-day,2820,282,282,True,False
2021-07-25,Multi-horizon ranking,2816,282,282,True,False
2021-07-25,Direct 60-day,2816,282,282,True,False
2021-08-08,Multi-horizon ranking,2817,282,282,True,False
2021-08-08,Direct 60-day,2817,282,282,True,False
2021-08-22,Multi-horizon ranking,2819,282,282,True,False
2021-08-22,Direct 60-day,2819,282,282,True,False
2021-09-05,Multi-horizon ranking,2816,282,282,True,False
2021-09-05,Direct 60-day,2816,282,282,True,False
2021-09-19,Multi-horizon ranking,2818,282,282,True,False
2021-09-19,Direct 60-day,2818,282,282,True,False
2021-10-03,Multi-horizon ranking,2821,283,283,True,False
2021-10-03,Direct 60-day,2821,283,283,True,False
2021-10-17,Multi-horizon ranking,2828,283,283,True,False
2021-10-17,Direct 60-day,2828,283,283,True,False
2021-10-31,Multi-horizon ranking,2831,284,284,True,False
2021-10-31,Direct 60-day,2831,284,284,True,False
2021-11-14,Multi-horizon ranking,2833,284,284,True,False
2021-11-14,Direct 60-day,2833,284,284,True,False
2021-11-28,Multi-horizon ranking,2835,284,284,True,False
2021-11-28,Direct 60-day,2835,284,284,True,False
2021-12-12,Multi-horizon ranking,2836,284,284,True,False
2021-12-12,Direct 60-day,2836,284,284,True,False
2021-12-26,Multi-horizon ranking,2834,284,284,True,False
2021-12-26,Direct 60-day,2834,284,284,True,False
2022-01-09,Multi-horizon ranking,2836,284,284,True,False
2022-01-09,Direct 60-day,2836,284,284,True,False
2022-01-23,Multi-horizon ranking,2835,284,284,True,False
2022-01-23,Direct 60-day,2835,284,284,True,False
2022-02-06,Multi-horizon ranking,2837,284,284,True,False
2022-02-06,Direct 60-day,2837,284,284,True,False
2022-02-20,Multi-horizon ranking,2840,284,284,True,False
2022-02-20,Direct 60-day,2840,284,284,True,False
2022-03-06,Multi-horizon ranking,2838,284,284,True,False
2022-03-06,Direct 60-day,2838,284,284,True,False
2022-03-20,Multi-horizon ranking,2838,284,284,True,False
2022-03-20,Direct 60-day,2838,284,284,True,False
2022-04-03,Multi-horizon ranking,2837,284,284,True,False
2022-04-03,Direct 60-day,2837,284,284,True,False
2022-04-17,Multi-horizon ranking,2838,284,284,True,False
2022-04-17,Direct 60-day,2838,284,284,True,False
2022-05-01,Multi-horizon ranking,2837,284,284,True,False
2022-05-01,Direct 60-day,2837,284,284,True,False
2022-05-15,Multi-horizon ranking,2835,284,284,True,False
2022-05-15,Direct 60-day,2835,284,284,True,False
2022-05-29,Multi-horizon ranking,2831,284,284,True,False
2022-05-29,Direct 60-day,2831,284,284,True,False
2022-06-12,Multi-horizon ranking,2832,284,284,True,False
2022-06-12,Direct 60-day,2832,284,284,True,False
2022-06-26,Multi-horizon ranking,2828,283,283,True,False
2022-06-26,Direct 60-day,2828,283,283,True,False
2022-07-10,Multi-horizon ranking,2829,283,283,True,False
2022-07-10,Direct 60-day,2829,283,283,True,False
2022-07-24,Multi-horizon ranking,2829,283,283,True,False
2022-07-24,Direct 60-day,2829,283,283,True,False
2022-08-07,Multi-horizon ranking,2827,283,283,True,False
2022-08-07,Direct 60-day,2827,283,283,True,False
2022-08-21,Multi-horizon ranking,2824,283,283,True,False
2022-08-21,Direct 60-day,2824,283,283,True,False
2022-09-04,Multi-horizon ranking,2824,283,283,True,False
2022-09-04,Direct 60-day,2824,283,283,True,False
2022-09-18,Multi-horizon ranking,2825,283,283,True,False
2022-09-18,Direct 60-day,2825,283,283,True,False
2022-10-02,Multi-horizon ranking,2828,283,283,True,False
2022-10-02,Direct 60-day,2828,283,283,True,False
2022-10-16,Multi-horizon ranking,2829,283,283,True,False
2022-10-16,Direct 60-day,2829,283,283,True,False
2022-10-30,Multi-horizon ranking,2832,284,284,True,False
2022-10-30,Direct 60-day,2832,284,284,True,False
2022-11-13,Multi-horizon ranking,2835,284,284,True,False
2022-11-13,Direct 60-day,2835,284,284,True,False
2022-11-27,Multi-horizon ranking,2839,284,284,True,False
2022-11-27,Direct 60-day,2839,284,284,True,False
2022-12-11,Multi-horizon ranking,2840,284,284,True,False
2022-12-11,Direct 60-day,2840,284,284,True,False
2022-12-25,Multi-horizon ranking,2841,285,285,True,False
2022-12-25,Direct 60-day,2841,285,285,True,False
2023-01-08,Multi-horizon ranking,2841,285,285,True,False
2023-01-08,Direct 60-day,2841,285,285,True,False
2023-01-22,Multi-horizon ranking,2840,284,284,True,False
2023-01-22,Direct 60-day,2840,284,284,True,False
2023-02-05,Multi-horizon ranking,2838,284,284,True,False
2023-02-05,Direct 60-day,2838,284,284,True,False
2023-02-19,Multi-horizon ranking,2836,284,284,True,False
2023-02-19,Direct 60-day,2836,284,284,True,False
2023-03-05,Multi-horizon ranking,2831,284,284,True,False
2023-03-05,Direct 60-day,2831,284,284,True,False
2023-03-19,Multi-horizon ranking,2829,283,283,True,False
