bootstrap_draw,total_event_copies,captured__primary_31_60__multi_horizon,captured__primary_31_60__direct_60_day,capture_rate_difference__primary_31_60,captured__secondary_1_60__multi_horizon,captured__secondary_1_60__direct_60_day,capture_rate_difference__secondary_1_60
0,778,294,234,0.07712082262210801,507,322,0.23778920308483298
1,630,243,199,0.06984126984126987,370,276,0.14920634920634923
2,727,287,219,0.09353507565336999,505,301,0.28060522696011
3,655,256,191,0.09923664122137404,398,276,0.18625954198473282
4,805,287,215,0.08944099378881987,492,317,0.21739130434782605
5,646,260,197,0.09752321981424145,402,274,0.19814241486068107
6,662,250,190,0.09063444108761332,421,270,0.2280966767371601
7,739,274,221,0.07171853856562921,481,306,0.2368064952638701
8,750,301,210,0.1213333333333333,496,295,0.268
9,671,265,186,0.11773472429210136,437,282,0.23099850968703434
10,626,243,184,0.09424920127795527,391,252,0.22204472843450473
11,704,281,218,0.08948863636363641,450,316,0.19034090909090906
12,698,259,198,0.08739255014326647,454,285,0.24212034383954156
13,706,264,203,0.08640226628895181,450,307,0.20254957507082155
14,670,242,214,0.04179104477611939,416,300,0.1731343283582089
15,723,287,226,0.08437067773167356,462,316,0.20193637621023508
16,734,279,209,0.09536784741144416,451,274,0.24114441416893734
17,650,259,209,0.07692307692307693,439,304,0.20769230769230768
18,757,279,225,0.071334214002642,456,320,0.17965653896961686
19,616,236,183,0.08603896103896108,359,242,0.1899350649350649
20,732,270,199,0.09699453551912568,444,278,0.22677595628415304
21,687,251,191,0.0873362445414847,448,285,0.23726346433770013
22,667,263,216,0.07046476761619191,434,286,0.2218890554722639
23,697,265,206,0.08464849354375897,446,280,0.2381635581061693
24,646,264,201,0.0975232198142415,415,270,0.2244582043343653
25,711,280,236,0.06188466947960619,468,312,0.21940928270042187
26,702,268,213,0.07834757834757838,475,293,0.25925925925925924
27,658,244,188,0.08510638297872342,413,278,0.20516717325227962
28,671,250,197,0.07898658718330848,428,293,0.2011922503725782
29,685,235,197,0.055474452554744536,424,267,0.22919708029197078
30,698,261,212,0.07020057306590255,431,304,0.18194842406876788
31,796,298,217,0.10175879396984927,541,291,0.314070351758794
32,646,265,211,0.08359133126934987,430,276,0.238390092879257
33,754,290,231,0.07824933687002655,465,322,0.1896551724137931
34,748,284,219,0.08689839572192515,461,310,0.20187165775401072
35,629,230,169,0.0969793322734499,392,245,0.23370429252782193
36,767,276,210,0.08604954367666234,460,292,0.2190352020860496
37,705,282,233,0.06950354609929082,432,309,0.17446808510638295
38,719,282,242,0.05563282336578579,432,329,0.1432545201668985
39,678,240,189,0.0752212389380531,428,259,0.24926253687315636
40,677,282,229,0.07828655834564252,436,306,0.19202363367799113
41,674,252,186,0.09792284866468842,417,260,0.23293768545994065
42,704,264,206,0.08238636363636365,429,285,0.20454545454545453
43,657,260,203,0.0867579908675799,418,285,0.2024353120243531
44,690,263,217,0.06666666666666665,424,300,0.17971014492753629
45,674,265,207,0.08605341246290799,424,281,0.21216617210682487
46,705,261,205,0.07943262411347518,432,302,0.18439716312056736
47,795,320,257,0.07924528301886796,505,340,0.2075471698113207
48,678,268,203,0.09587020648967554,448,286,0.23893805309734512
49,722,278,239,0.05401662049861494,483,319,0.22714681440443218
50,679,259,217,0.061855670103092786,438,303,0.1988217967599411
51,643,247,180,0.10419906687402797,405,239,0.2581648522550544
52,640,251,200,0.07968750000000002,413,277,0.21249999999999997
53,739,277,203,0.10013531799729364,451,280,0.23139377537212447
54,736,280,232,0.06521739130434784,445,309,0.18478260869565222
55,739,273,239,0.04600811907983765,446,318,0.17320703653585923
56,745,284,231,0.07114093959731549,486,325,0.21610738255033562
57,651,283,216,0.10291858678955451,429,300,0.1981566820276498
58,663,269,221,0.07239819004524889,459,314,0.2187028657616893
59,700,266,188,0.11142857142857143,419,264,0.22142857142857136
60,750,267,180,0.11599999999999999,441,282,0.21199999999999997
61,598,222,163,0.09866220735785952,347,225,0.20401337792642132
62,654,259,193,0.1009174311926605,428,268,0.24464831804281345
63,684,251,189,0.09064327485380114,420,287,0.19444444444444448
64,649,256,172,0.12942989214175654,379,250,0.19876733436055466
65,788,292,236,0.07106598984771573,502,361,0.17893401015228422
66,711,263,170,0.1308016877637131,451,254,0.2770745428973277
67,790,305,233,0.0911392405063291,490,310,0.22784810126582278
68,725,275,203,0.09931034482758616,484,296,0.25931034482758614
69,604,232,194,0.06291390728476826,370,266,0.1721854304635762
70,691,263,206,0.08248914616497832,433,315,0.17076700434153402
71,712,281,219,0.08707865168539325,455,302,0.2148876404494382
72,674,261,199,0.09198813056379823,449,279,0.25222551928783377
73,597,236,197,0.06532663316582915,365,276,0.14907872696817415
74,746,252,193,0.07908847184986595,442,274,0.2252010723860589
75,677,233,189,0.06499261447562776,385,272,0.1669128508124077
76,692,282,225,0.08236994219653176,443,299,0.20809248554913296
77,732,292,255,0.050546448087431695,477,348,0.17622950819672134
78,710,275,201,0.10422535211267603,476,288,0.2647887323943662
79,669,270,221,0.07324364723467863,427,293,0.20029895366218237
80,650,261,206,0.08461538461538459,413,289,0.1907692307692308
81,691,267,195,0.10419681620839366,468,310,0.22865412445730826
82,721,277,235,0.058252427184465994,465,311,0.2135922330097088
83,697,273,212,0.08751793400286945,424,299,0.17934002869440457
84,682,286,209,0.11290322580645162,439,295,0.21114369501466274
85,697,263,204,0.08464849354375897,431,317,0.163558106169297
86,611,233,177,0.09165302782324058,376,256,0.19639934533551556
87,712,266,209,0.0800561797752809,423,303,0.1685393258426966
88,726,268,222,0.06336088154269975,455,291,0.22589531680440766
89,738,312,236,0.10298102981029811,519,325,0.26287262872628725
90,726,280,199,0.11157024793388431,478,301,0.24380165289256195
91,674,252,210,0.06231454005934717,406,271,0.20029673590504454
92,771,287,234,0.06874189364461741,485,319,0.21530479896238652
93,729,281,234,0.06447187928669412,443,309,0.18381344307270236
94,670,255,185,0.10447761194029848,407,254,0.2283582089552239
95,634,266,212,0.08517350157728709,426,290,0.21451104100946378
96,617,257,208,0.0794165316045381,396,281,0.1863857374392221
97,703,268,228,0.05689900426742528,437,298,0.19772403982930298
98,675,279,202,0.11407407407407405,446,284,0.24
99,670,251,183,0.10149253731343283,420,261,0.2373134328358209
100,775,294,225,0.08903225806451609,495,327,0.21677419354838706
101,686,258,194,0.0932944606413994,440,283,0.22886297376093295
102,713,272,209,0.08835904628330993,460,305,0.21739130434782605
103,723,302,248,0.07468879668049794,464,328,0.18810511756569853
104,812,317,214,0.12684729064039407,538,306,0.28571428571428575
105,683,272,221,0.07467057101024893,433,309,0.18155197657393857
106,727,264,197,0.09215955983493812,444,297,0.20220082530949102
107,652,259,199,0.09202453987730058,404,271,0.20398773006134968
108,708,255,216,0.05508474576271183,466,317,0.21045197740112992
109,733,271,205,0.09004092769440653,459,294,0.2251023192360163
110,731,295,239,0.07660738714090287,453,319,0.18331053351573184
111,693,267,217,0.07215007215007213,442,291,0.21789321789321792
112,697,258,178,0.11477761836441897,427,257,0.2439024390243903
113,764,306,209,0.12696335078534032,511,303,0.27225130890052357
114,735,294,225,0.09387755102040818,451,325,0.17142857142857143
115,667,256,184,0.10794602698650674,427,272,0.23238380809595205
116,722,261,190,0.09833795013850416,452,264,0.26038781163434904
117,678,267,195,0.10619469026548672,449,294,0.22861356932153387
118,657,256,202,0.0821917808219178,411,275,0.20700152207001526
119,707,282,226,0.07920792079207922,464,329,0.19094766619519093
120,642,253,193,0.09345794392523366,377,260,0.18224299065420563
121,711,262,227,0.049226441631504914,428,315,0.15893108298171593
122,766,301,214,0.11357702349869453,527,293,0.30548302872062666
123,748,298,222,0.10160427807486627,513,319,0.25935828877005346
124,627,251,182,0.11004784688995217,396,243,0.2440191387559808
125,755,292,217,0.09933774834437087,516,305,0.27947019867549666
126,723,254,183,0.09820193637621022,474,267,0.2863070539419087
127,707,252,170,0.11598302687411596,452,245,0.2927864214992928
128,747,274,237,0.04953145917001339,511,302,0.2797858099062918
129,657,252,188,0.0974124809741248,384,267,0.1780821917808219
130,587,225,187,0.06473594548551959,385,266,0.20272572402044287
131,679,250,192,0.08541973490427102,431,265,0.24447717231222382
132,811,306,227,0.09741060419235509,534,325,0.2577065351418003
133,768,299,249,0.06510416666666669,481,314,0.21744791666666669
