event_id,multi_horizon_primary,multi_horizon_secondary,direct_60_day_primary,direct_60_day_secondary
events__d4bc74f1bfbe2849607edb97,True,True,True,True
events__74f4852cebc6d59147499354,False,True,False,True
events__92cee6f30b017eef7a4247db,False,False,False,False
events__2feb5e6f2f550a17f0957c42,False,False,False,False
events__31e800ab4055c04cdcf595ad,False,True,False,True
events__60bbaa6d4683a78f35215bc5,False,False,False,False
events__dc3a7543be530da8a520f8be,False,False,False,False
events__7346fa0578d28fd4e5c1de79,False,False,True,True
events__c16afa5a6bfc554f80e98f6a,False,False,False,False
events__8c2dee217a689e9462d44a62,True,True,False,False
events__c9dda3f10bbf617ee644833d,False,False,False,False
events__4c1838cdb7bddec93da3e2e2,False,True,False,False
events__57d830fd5b211a2ab9ff67cc,False,True,True,True
events__7a1a2de2c718b871a3bc5471,False,True,False,False
events__c100a71cb7878d55e5a3aa0d,False,False,False,False
events__6c0eac9b7895f7e3252621c5,False,False,False,False
events__3fc6654f9b1c18d4490676d4,True,True,True,True
events__007de2cce21e62fdc9ca26d4,True,True,False,False
events__10f0d528b31bb779197dc67e,False,True,False,False
events__6faee43f9c37d2bac9037095,False,True,False,True
events__4c6c485da6c616f78b15f8c6,False,False,False,False
events__251b89d941dadc25b17d8b9e,True,True,False,False
events__a9648f53df902b5278ba404e,False,True,True,True
events__2c0be52afd8dae1681212f87,False,True,False,False
events__472ebe0b535bd514ae9c8c91,False,True,False,False
events__ab787fd28e0e7f2668e78ae3,True,True,True,True
events__bd15925933c1575c6a57ca74,False,False,False,False
events__2d8aeadba99bdc80cc1e77c8,False,False,False,False
events__cd5fc45773984a0cc8bebaa8,False,True,False,False
events__a67ce10472bec34656c305f4,False,False,False,False
events__ab0d73625be4e49db5b834b4,False,True,False,False
events__0ef901a2b8b7f4fff131c533,False,False,False,False
events__caf5dc44ce36f03edf7bbf2e,True,True,True,True
events__ed97c842593aa940b3c644a5,False,False,False,False
events__a27b441f5f5c2ca2d280c83a,False,False,False,False
events__e335b950953ed1a2281bdb6f,True,True,True,True
events__1607b52b980fb5a3e8bb9ba4,True,True,True,True
events__d04a6b731f50111fb826d34c,True,True,True,True
events__5596b2e0c7cc6a3357b306a8,True,True,True,True
