capacity_percent,capacity_fraction,endpoint,policy,event_n,captured_events,coverage_percent,selected_slots,analysis_role,difference_pp,ci_low_pp,ci_high_pp,ci_source,display_name
1.0,0.01,primary_31_60,multi_horizon,696,56,8.045977011494253,3739,post_hoc_descriptive,4.741379310344827,,,not_computed_descriptive_point,Multi-horizon
1.0,0.01,primary_31_60,direct_60_day,696,23,3.3045977011494254,3739,post_hoc_descriptive,4.741379310344827,,,not_computed_descriptive_point,Direct 60-day
1.0,0.01,primary_31_60,historical_risk,696,41,5.890804597701149,3739,post_hoc_descriptive,4.741379310344827,,,not_computed_descriptive_point,Historical risk
2.0,0.02,primary_31_60,multi_horizon,696,96,13.79310344827586,7367,post_hoc_descriptive,7.040229885057471,,,not_computed_descriptive_point,Multi-horizon
2.0,0.02,primary_31_60,direct_60_day,696,47,6.752873563218391,7367,post_hoc_descriptive,7.040229885057471,,,not_computed_descriptive_point,Direct 60-day
2.0,0.02,primary_31_60,historical_risk,696,69,9.913793103448276,7367,post_hoc_descriptive,7.040229885057471,,,not_computed_descriptive_point,Historical risk
3.0,0.03,primary_31_60,multi_horizon,696,119,17.097701149425287,11040,post_hoc_descriptive,7.183908045977011,,,not_computed_descriptive_point,Multi-horizon
3.0,0.03,primary_31_60,direct_60_day,696,69,9.913793103448276,11040,post_hoc_descriptive,7.183908045977011,,,not_computed_descriptive_point,Direct 60-day
3.0,0.03,primary_31_60,historical_risk,696,91,13.07471264367816,11040,post_hoc_descriptive,7.183908045977011,,,not_computed_descriptive_point,Historical risk
4.0,0.04,primary_31_60,multi_horizon,696,159,22.844827586206897,14698,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Multi-horizon
4.0,0.04,primary_31_60,direct_60_day,696,91,13.07471264367816,14698,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Direct 60-day
4.0,0.04,primary_31_60,historical_risk,696,113,16.23563218390805,14698,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Historical risk
5.0,0.05,primary_31_60,multi_horizon,696,182,26.14942528735632,18339,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Multi-horizon
5.0,0.05,primary_31_60,direct_60_day,696,113,16.23563218390805,18339,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Direct 60-day
5.0,0.05,primary_31_60,historical_risk,696,144,20.689655172413794,18339,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Historical risk
6.0,0.06,primary_31_60,multi_horizon,696,197,28.304597701149422,22012,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Multi-horizon
6.0,0.06,primary_31_60,direct_60_day,696,128,18.39080459770115,22012,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Direct 60-day
6.0,0.06,primary_31_60,historical_risk,696,177,25.43103448275862,22012,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Historical risk
7.0,0.07,primary_31_60,multi_horizon,696,217,31.178160919540232,25667,post_hoc_descriptive,9.339080459770114,,,not_computed_descriptive_point,Multi-horizon
7.0,0.07,primary_31_60,direct_60_day,696,152,21.839080459770116,25667,post_hoc_descriptive,9.339080459770114,,,not_computed_descriptive_point,Direct 60-day
7.0,0.07,primary_31_60,historical_risk,696,207,29.74137931034483,25667,post_hoc_descriptive,9.339080459770114,,,not_computed_descriptive_point,Historical risk
7.5,0.075,primary_31_60,multi_horizon,696,228,32.758620689655174,27495,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Multi-horizon
7.5,0.075,primary_31_60,direct_60_day,696,160,22.988505747126435,27495,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Direct 60-day
7.5,0.075,primary_31_60,historical_risk,696,231,33.189655172413794,27495,post_hoc_descriptive,9.770114942528735,,,not_computed_descriptive_point,Historical risk
8.0,0.08,primary_31_60,multi_horizon,696,238,34.195402298850574,29323,post_hoc_descriptive,10.344827586206897,,,not_computed_descriptive_point,Multi-horizon
8.0,0.08,primary_31_60,direct_60_day,696,166,23.850574712643677,29323,post_hoc_descriptive,10.344827586206897,,,not_computed_descriptive_point,Direct 60-day
8.0,0.08,primary_31_60,historical_risk,696,243,34.91379310344828,29323,post_hoc_descriptive,10.344827586206897,,,not_computed_descriptive_point,Historical risk
9.0,0.09,primary_31_60,multi_horizon,696,252,36.206896551724135,32980,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Multi-horizon
9.0,0.09,primary_31_60,direct_60_day,696,183,26.29310344827586,32980,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Direct 60-day
9.0,0.09,primary_31_60,historical_risk,696,259,37.21264367816091,32980,post_hoc_descriptive,9.913793103448276,,,not_computed_descriptive_point,Historical risk
10.0,0.1,primary_31_60,multi_horizon,696,263,37.78735632183909,36631,formal_frozen_reference,8.045977011494253,4.362347530311066,12.223989704400475,existing_formal_10pct,Multi-horizon
10.0,0.1,primary_31_60,direct_60_day,696,207,29.74137931034483,36631,formal_frozen_reference,8.045977011494253,4.362347530311066,12.223989704400475,existing_formal_10pct,Direct 60-day
10.0,0.1,primary_31_60,historical_risk,696,277,39.798850574712645,36631,post_hoc_descriptive,8.045977011494253,4.362347530311066,12.223989704400475,existing_formal_10pct,Historical risk
11.0,0.11,primary_31_60,multi_horizon,696,280,40.229885057471265,40292,post_hoc_descriptive,8.620689655172415,,,not_computed_descriptive_point,Multi-horizon
