lake_id,event_count,multi_horizon_captured_event_count,direct_60_day_captured_event_count,multi_horizon_lake_event_coverage,direct_60_day_lake_event_coverage,lake_specific_coverage_difference_pp,support_status
100219,1,1,1,1.0,1.0,0.0,all_frozen_event_lakes_in_denominator
102115,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
103186,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
10769,4,1,0,0.25,0.0,25.0,all_frozen_event_lakes_in_denominator
108402,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
110327,4,2,0,0.5,0.0,50.0,all_frozen_event_lakes_in_denominator
111528,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
111821,1,1,0,1.0,0.0,100.0,all_frozen_event_lakes_in_denominator
112493,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
1143,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
116962,1,1,1,1.0,1.0,0.0,all_frozen_event_lakes_in_denominator
118775,1,0,1,0.0,1.0,-100.0,all_frozen_event_lakes_in_denominator
118786,1,0,1,0.0,1.0,-100.0,all_frozen_event_lakes_in_denominator
119767,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
121869,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
1227,3,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
123972,2,1,1,0.5,0.5,0.0,all_frozen_event_lakes_in_denominator
124012,2,1,2,0.5,1.0,-50.0,all_frozen_event_lakes_in_denominator
124029,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
124051,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
126136,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
128328,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
1321,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
132581,4,3,1,0.75,0.25,50.0,all_frozen_event_lakes_in_denominator
134664,2,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
134680,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
137728,2,2,2,1.0,1.0,0.0,all_frozen_event_lakes_in_denominator
1378,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
138812,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
139770,3,3,2,1.0,0.6666666666666666,33.333333333333336,all_frozen_event_lakes_in_denominator
139780,1,0,0,0.0,0.0,0.0,all_frozen_event_lakes_in_denominator
