event_id,prior_observation_count_1_60d,candidate_forecast_origins_1_60d,candidate_coverage_31_60d,candidate_coverage_1_60d
events__d4bc74f1bfbe2849607edb97,1,9,True,True
events__74f4852cebc6d59147499354,3,9,True,True
events__92cee6f30b017eef7a4247db,1,9,True,True
events__2feb5e6f2f550a17f0957c42,3,0,False,False
events__31e800ab4055c04cdcf595ad,2,9,True,True
events__60bbaa6d4683a78f35215bc5,0,9,True,True
events__dc3a7543be530da8a520f8be,0,4,False,True
events__7346fa0578d28fd4e5c1de79,0,9,True,True
events__c16afa5a6bfc554f80e98f6a,2,9,True,True
events__8c2dee217a689e9462d44a62,2,9,True,True
events__c9dda3f10bbf617ee644833d,4,9,True,True
events__4c1838cdb7bddec93da3e2e2,3,9,True,True
events__57d830fd5b211a2ab9ff67cc,3,9,True,True
events__7a1a2de2c718b871a3bc5471,0,9,True,True
events__c100a71cb7878d55e5a3aa0d,3,1,False,True
events__6c0eac9b7895f7e3252621c5,0,9,True,True
events__3fc6654f9b1c18d4490676d4,4,9,True,True
events__007de2cce21e62fdc9ca26d4,1,8,True,True
events__10f0d528b31bb779197dc67e,5,9,True,True
events__6faee43f9c37d2bac9037095,6,9,True,True
events__4c6c485da6c616f78b15f8c6,0,9,True,True
events__251b89d941dadc25b17d8b9e,1,8,True,True
events__a9648f53df902b5278ba404e,2,9,True,True
events__2c0be52afd8dae1681212f87,1,8,True,True
events__472ebe0b535bd514ae9c8c91,1,9,True,True
events__ab787fd28e0e7f2668e78ae3,1,9,True,True
events__bd15925933c1575c6a57ca74,3,9,True,True
events__2d8aeadba99bdc80cc1e77c8,1,9,True,True
events__cd5fc45773984a0cc8bebaa8,1,9,True,True
events__a67ce10472bec34656c305f4,0,9,True,True
events__ab0d73625be4e49db5b834b4,3,3,False,True
events__0ef901a2b8b7f4fff131c533,0,9,True,True
events__caf5dc44ce36f03edf7bbf2e,2,9,True,True
events__ed97c842593aa940b3c644a5,1,8,True,True
events__a27b441f5f5c2ca2d280c83a,1,8,True,True
events__e335b950953ed1a2281bdb6f,0,9,True,True
events__1607b52b980fb5a3e8bb9ba4,0,9,True,True
events__d04a6b731f50111fb826d34c,0,9,True,True
events__5596b2e0c7cc6a3357b306a8,4,9,True,True
events__8505b85021876c2911a52790,0,9,True,True
events__76add21c053779b228b21ee7,4,2,False,True
events__2ebc21bb79ecf01cd00dd535,3,8,True,True
events__ad82ffa10e6740ff199a7c40,0,9,True,True
events__7b3e3154c16c3646ddc85b69,3,8,True,True
events__f65252c6546146cd456fa950,1,9,True,True
events__ef77eea58ded8be22052034a,1,9,True,True
events__f30d70980a108fcd3dd3cc82,1,9,True,True
events__599ea3af06499d147bc12cd2,4,9,True,True
events__0d16b16d9da086c5498c7393,4,9,True,True
events__c3730ea0eaa150c10924bdbe,2,8,True,True
events__db2afbbb407c8f322d8714b7,1,9,True,True
events__90dc7044013ecec6f619ef32,1,9,True,True
events__6bb1e6d577154fde738b5b12,1,8,True,True
events__5a20beb3458307a160e86124,1,9,True,True
events__203edced43eaaef1a045125a,3,9,True,True
events__fda974d8ebd84c53117124f9,1,9,True,True
events__87b6f666915b64739ceccb36,0,9,True,True
events__aadfc4a45de4e88e3062d68a,1,9,True,True
events__ba769987069f504063a64283,0,9,True,True
events__f4ac94407aa8297163653a5f,3,9,True,True
events__596b60c18eb825c2317e096d,4,9,True,True
events__eeaa673288d06fbcd4832ec1,0,9,True,True
events__b7692c026f56b63649687704,0,9,True,True
events__097d03edc4f14d1045d4f16c,4,1,False,True
events__58e3ac8983eebada12587e92,3,9,True,True
events__68a26afeb81988ef416e7f15,4,9,True,True
events__23899e26e2387ab0abfe9703,1,9,True,True
events__ce7cbd08cc115badfc65ab7f,0,9,True,True
events__f55c57b604b955cf3c50cf37,0,9,True,True
events__a39eaa15b8ecff481b7b6604,0,9,True,True
events__25e1a18e41d20ecf496b4b23,0,5,False,True
events__b4648ce389227a2a9214a07c,0,9,True,True
events__baaab45a5c11a00dfa7b37f7,1,9,True,True
events__aaa5f43c3798a39d1d2ee82d,1,9,True,True
events__1c9c47d3ed54e4dc6a5ec2f5,1,9,True,True
events__43907f52661d3db69423c006,6,8,True,True
events__b966b7033532e8dfaa3ea2f9,1,8,True,True
events__cde55eff8e3197799171a6aa,2,9,True,True
events__3357f577e80c74ce9a8804ff,0,8,True,True
events__48a4c23204522e4cb9f5d7f1,2,9,True,True
events__ba60d4e3ea0441e86e51b611,2,9,True,True
events__4ee56522cae45cc9b9274a1c,4,9,True,True
events__0a732ce0b91cc585ebeedc8e,4,9,True,True
events__4aafd8eb10498fa7bdfbd9b1,4,9,True,True
events__3bc60485015574097e9512b5,4,9,True,True
events__80de8ebbf6441a2cf50ddc4f,3,9,True,True
events__d68a45334b6752a9d9aff49b,4,9,True,True
events__1c4da6ae905575aa8aab4ce3,2,9,True,True
events__ac085162f1f1d1cfa3c0d511,0,8,True,True
events__3b2f7964e1e230957c1f7dff,0,8,True,True
events__2d5212f97076f28b2ec02141,1,4,False,True
events__c13f3ae8a0fb11c1cdcfb595,2,9,True,True
events__f15b9290850c19511a94d0d7,4,9,True,True
events__ab2e1eb67b425f98c1e83275,0,9,True,True
