group_type,group,policy,evaluable_events,captured_1_60,captured_31_60
year,2017,early_30_day_reference,196,137,87
year,2018,early_30_day_reference,173,119,79
year,2019,early_30_day_reference,195,119,77
year,2020,early_30_day_reference,102,86,59
lake_fold,0,early_30_day_reference,114,71,48
lake_fold,1,early_30_day_reference,163,108,74
lake_fold,2,early_30_day_reference,128,97,61
lake_fold,3,early_30_day_reference,138,107,69
lake_fold,4,early_30_day_reference,123,78,50
year,2017,basic_60_day_reference,196,88,70
year,2018,basic_60_day_reference,173,83,67
year,2019,basic_60_day_reference,195,74,63
year,2020,basic_60_day_reference,102,60,49
lake_fold,0,basic_60_day_reference,114,45,42
lake_fold,1,basic_60_day_reference,163,71,52
lake_fold,2,basic_60_day_reference,128,63,48
lake_fold,3,basic_60_day_reference,138,66,56
lake_fold,4,basic_60_day_reference,123,60,51
year,2017,environment_60_day_reference,196,130,90
year,2018,environment_60_day_reference,173,113,83
year,2019,environment_60_day_reference,195,107,72
year,2020,environment_60_day_reference,102,76,56
lake_fold,0,environment_60_day_reference,114,70,49
lake_fold,1,environment_60_day_reference,163,92,60
lake_fold,2,environment_60_day_reference,128,84,60
lake_fold,3,environment_60_day_reference,138,99,75
lake_fold,4,environment_60_day_reference,123,81,57
year,2017,direct_60_day,196,136,86
year,2018,direct_60_day,173,119,80
year,2019,direct_60_day,195,119,81
year,2020,direct_60_day,102,81,58
lake_fold,0,direct_60_day,114,75,49
lake_fold,1,direct_60_day,163,111,74
lake_fold,2,direct_60_day,128,89,57
lake_fold,3,direct_60_day,138,103,73
lake_fold,4,direct_60_day,123,77,52
year,2017,multi_horizon,196,153,102
year,2018,multi_horizon,173,129,86
year,2019,multi_horizon,195,130,88
year,2020,multi_horizon,102,85,60
lake_fold,0,multi_horizon,114,79,62
lake_fold,1,multi_horizon,163,121,78
lake_fold,2,multi_horizon,128,101,61
lake_fold,3,multi_horizon,138,110,78
lake_fold,4,multi_horizon,123,86,57
year,2017,risk_days_31_60,196,148,91
year,2018,risk_days_31_60,173,124,84
year,2019,risk_days_31_60,195,128,91
year,2020,risk_days_31_60,102,85,62
lake_fold,0,risk_days_31_60,114,80,57
lake_fold,1,risk_days_31_60,163,112,72
lake_fold,2,risk_days_31_60,128,100,65
lake_fold,3,risk_days_31_60,138,103,72
lake_fold,4,risk_days_31_60,123,90,62
year,2017,risk_days_15_30,196,150,101
year,2018,risk_days_15_30,173,129,84
year,2019,risk_days_15_30,195,132,87
year,2020,risk_days_15_30,102,82,55
lake_fold,0,risk_days_15_30,114,79,58
lake_fold,1,risk_days_15_30,163,122,78
lake_fold,2,risk_days_15_30,128,97,60
lake_fold,3,risk_days_15_30,138,108,75
lake_fold,4,risk_days_15_30,123,87,56
year,2017,lifecycle_stage_score,196,153,98
year,2018,lifecycle_stage_score,173,131,85
year,2019,lifecycle_stage_score,195,131,87
year,2020,lifecycle_stage_score,102,85,57
lake_fold,0,lifecycle_stage_score,114,77,57
lake_fold,1,lifecycle_stage_score,163,122,75
lake_fold,2,lifecycle_stage_score,128,102,59
lake_fold,3,lifecycle_stage_score,138,112,80
lake_fold,4,lifecycle_stage_score,123,87,56
