group_type,group,policy,evaluable_events,captured_1_60,captured_31_60
year,2017,early_30_day_reference,196,137,87
year,2018,early_30_day_reference,173,119,79
year,2019,early_30_day_reference,195,119,77
year,2020,early_30_day_reference,102,86,59
lake_fold,0,early_30_day_reference,114,71,48
lake_fold,1,early_30_day_reference,163,108,74
lake_fold,2,early_30_day_reference,128,97,61
lake_fold,3,early_30_day_reference,138,107,69
lake_fold,4,early_30_day_reference,123,78,50
year,2017,Direct 60-day_backbone,196,88,70
year,2018,Direct 60-day_backbone,173,83,67
year,2019,Direct 60-day_backbone,195,74,63
year,2020,Direct 60-day_backbone,102,60,49
lake_fold,0,Direct 60-day_backbone,114,45,42
lake_fold,1,Direct 60-day_backbone,163,71,52
lake_fold,2,Direct 60-day_backbone,128,63,48
lake_fold,3,Direct 60-day_backbone,138,66,56
lake_fold,4,Direct 60-day_backbone,123,60,51
year,2017,Direct 60-day_environment,196,130,90
year,2018,Direct 60-day_environment,173,113,83
year,2019,Direct 60-day_environment,195,107,72
year,2020,Direct 60-day_environment,102,76,56
lake_fold,0,Direct 60-day_environment,114,70,49
lake_fold,1,Direct 60-day_environment,163,92,60
lake_fold,2,Direct 60-day_environment,128,84,60
lake_fold,3,Direct 60-day_environment,138,99,75
lake_fold,4,Direct 60-day_environment,123,81,57
year,2017,Direct 60-day,196,136,86
year,2018,Direct 60-day,173,119,80
year,2019,Direct 60-day,195,119,81
year,2020,Direct 60-day,102,81,58
lake_fold,0,Direct 60-day,114,75,49
lake_fold,1,Direct 60-day,163,111,74
lake_fold,2,Direct 60-day,128,89,57
lake_fold,3,Direct 60-day,138,103,73
lake_fold,4,Direct 60-day,123,77,52
year,2017,Multi-horizon,196,153,102
year,2018,Multi-horizon,173,129,86
year,2019,Multi-horizon,195,130,88
year,2020,Multi-horizon,102,85,60
lake_fold,0,Multi-horizon,114,79,62
lake_fold,1,Multi-horizon,163,121,78
lake_fold,2,Multi-horizon,128,101,61
lake_fold,3,Multi-horizon,138,110,78
lake_fold,4,Multi-horizon,123,86,57
year,2017,risk_days_31_60,196,148,91
year,2018,risk_days_31_60,173,124,84
year,2019,risk_days_31_60,195,128,91
year,2020,risk_days_31_60,102,85,62
lake_fold,0,risk_days_31_60,114,80,57
lake_fold,1,risk_days_31_60,163,112,72
lake_fold,2,risk_days_31_60,128,100,65
lake_fold,3,risk_days_31_60,138,103,72
lake_fold,4,risk_days_31_60,123,90,62
year,2017,risk_days_15_30,196,150,101
year,2018,risk_days_15_30,173,129,84
year,2019,risk_days_15_30,195,132,87
year,2020,risk_days_15_30,102,82,55
lake_fold,0,risk_days_15_30,114,79,58
lake_fold,1,risk_days_15_30,163,122,78
lake_fold,2,risk_days_15_30,128,97,60
lake_fold,3,risk_days_15_30,138,108,75
lake_fold,4,risk_days_15_30,123,87,56
year,2017,lifecycle_stage_score,196,153,98
year,2018,lifecycle_stage_score,173,131,85
year,2019,lifecycle_stage_score,195,131,87
year,2020,lifecycle_stage_score,102,85,57
lake_fold,0,lifecycle_stage_score,114,77,57
lake_fold,1,lifecycle_stage_score,163,122,75
lake_fold,2,lifecycle_stage_score,128,102,59
lake_fold,3,lifecycle_stage_score,138,112,80
lake_fold,4,lifecycle_stage_score,123,87,56
