forecast_origin_date,q_only,d_only,both,cap,overlap
2021-01-10,113,113,172,285,0.603508771929825
2021-01-24,110,110,175,285,0.614035087719298
2021-02-07,109,109,175,284,0.616197183098592
2021-02-21,118,118,166,284,0.584507042253521
2021-03-07,122,122,162,284,0.570422535211268
2021-03-21,219,219,65,284,0.22887323943662
2021-04-04,201,201,83,284,0.292253521126761
2021-04-18,151,151,133,284,0.46830985915493
2021-05-02,184,184,100,284,0.352112676056338
2021-05-16,122,122,162,284,0.570422535211268
2021-05-30,134,134,150,284,0.528169014084507
2021-06-13,105,105,178,283,0.628975265017668
2021-06-27,88,88,195,283,0.68904593639576
2021-07-11,100,100,182,282,0.645390070921986
2021-07-25,101,101,181,282,0.641843971631206
2021-08-08,93,93,189,282,0.670212765957447
2021-08-22,94,94,188,282,0.666666666666667
2021-09-05,99,99,183,282,0.648936170212766
2021-09-19,113,113,169,282,0.599290780141844
2021-10-03,128,128,155,283,0.547703180212014
2021-10-17,127,127,156,283,0.551236749116608
2021-10-31,140,140,144,284,0.507042253521127
2021-11-14,138,138,146,284,0.514084507042254
2021-11-28,140,140,144,284,0.507042253521127
2021-12-12,152,152,132,284,0.464788732394366
2021-12-26,121,121,163,284,0.573943661971831
2022-01-09,151,151,133,284,0.46830985915493
2022-01-23,154,154,130,284,0.457746478873239
2022-02-06,172,172,112,284,0.394366197183099
2022-02-20,132,132,152,284,0.535211267605634
2022-03-06,120,120,164,284,0.577464788732394
2022-03-20,104,104,180,284,0.633802816901408
2022-04-03,131,131,153,284,0.538732394366197
2022-04-17,164,164,120,284,0.422535211267606
2022-05-01,197,197,87,284,0.306338028169014
2022-05-15,155,155,129,284,0.454225352112676
2022-05-29,127,127,157,284,0.552816901408451
2022-06-12,114,114,170,284,0.598591549295775
2022-06-26,111,111,172,283,0.607773851590106
2022-07-10,97,97,186,283,0.657243816254417
2022-07-24,103,103,180,283,0.636042402826855
2022-08-07,106,106,177,283,0.625441696113074
2022-08-21,107,107,176,283,0.621908127208481
2022-09-04,104,104,179,283,0.632508833922262
2022-09-18,118,118,165,283,0.583038869257951
2022-10-02,125,125,158,283,0.558303886925795
2022-10-16,147,147,136,283,0.480565371024735
2022-10-30,153,153,131,284,0.461267605633803
2022-11-13,165,165,119,284,0.419014084507042
2022-11-27,167,167,117,284,0.411971830985915
2022-12-11,117,117,167,284,0.588028169014085
2022-12-25,134,134,151,285,0.529824561403509
2023-01-08,128,128,157,285,0.550877192982456
2023-01-22,121,121,163,284,0.573943661971831
2023-02-05,115,115,169,284,0.595070422535211
2023-02-19,120,120,164,284,0.577464788732394
2023-03-05,124,124,160,284,0.563380281690141
2023-03-19,134,134,149,283,0.526501766784452
2023-04-02,166,166,117,283,0.413427561837456
2023-04-16,114,114,169,283,0.597173144876325
2023-04-30,141,141,143,284,0.503521126760563
2023-05-14,151,151,132,283,0.46643109540636
2023-05-28,117,117,165,282,0.585106382978723
2023-06-11,110,110,172,282,0.609929078014184
2023-06-25,100,100,181,281,0.644128113879004
2023-07-09,98,98,182,280,0.65
2023-07-23,95,95,184,279,0.659498207885305
2023-08-06,108,108,170,278,0.611510791366906
2023-08-20,111,111,165,276,0.597826086956522
2023-09-03,108,108,167,275,0.607272727272727
2023-09-17,114,114,160,274,0.583941605839416
2023-10-01,137,137,136,273,0.498168498168498
2023-10-15,157,157,117,274,0.427007299270073
2023-10-29,138,138,138,276,0.5
2023-11-12,144,144,134,278,0.482014388489209
2023-11-26,136,136,146,282,0.517730496453901
2023-12-10,140,140,144,284,0.507042253521127
2023-12-24,134,134,150,284,0.528169014084507
2024-01-07,130,130,154,284,0.542253521126761
2024-01-21,132,132,152,284,0.535211267605634
2024-02-04,138,138,146,284,0.514084507042254
2024-02-18,166,166,118,284,0.415492957746479
2024-03-03,181,181,103,284,0.362676056338028
2024-03-17,186,186,98,284,0.345070422535211
2024-03-31,181,181,102,283,0.360424028268551
2024-04-14,199,199,84,283,0.296819787985866
2024-04-28,145,145,138,283,0.487632508833922
2024-05-12,141,141,141,282,0.5
2024-05-26,143,143,139,282,0.49290780141844
2024-06-09,117,117,164,281,0.583629893238434
2024-06-23,114,114,166,280,0.592857142857143
2024-07-07,108,108,170,278,0.611510791366906
2024-07-21,93,93,183,276,0.66304347826087
2024-08-04,112,112,163,275,0.592727272727273
2024-08-18,117,117,157,274,0.572992700729927
2024-09-01,127,127,145,272,0.533088235294118
2024-09-15,167,167,105,272,0.386029411764706
2024-09-29,119,119,151,270,0.559259259259259
2024-10-13,132,132,138,270,0.511111111111111
2024-10-27,139,139,134,273,0.490842490842491
2024-11-10,201,201,73,274,0.266423357664234
2024-11-24,154,154,125,279,0.448028673835125
2024-12-08,133,133,150,283,0.530035335689046
2024-12-22,136,136,147,283,0.519434628975265
2025-01-05,135,135,149,284,0.524647887323944
2025-01-19,136,136,148,284,0.52112676056338
2025-02-02,150,150,134,284,0.471830985915493
2025-02-16,144,144,140,284,0.492957746478873
2025-03-02,126,126,158,284,0.556338028169014
2025-03-16,116,116,168,284,0.591549295774648
2025-03-30,118,118,166,284,0.584507042253521
2025-04-13,162,162,122,284,0.429577464788732
2025-04-27,142,142,142,284,0.5
2025-05-11,148,148,135,283,0.477031802120141
2025-05-25,142,142,142,284,0.5
2025-06-08,137,137,146,283,0.515901060070671
2025-06-22,103,103,180,283,0.636042402826855
2025-07-06,110,110,172,282,0.609929078014184
2025-07-20,92,92,189,281,0.672597864768683
2025-08-03,114,114,165,279,0.591397849462366
2025-08-17,129,129,150,279,0.537634408602151
2025-08-31,126,126,152,278,0.546762589928058
2025-09-14,128,128,149,277,0.537906137184116
2025-09-28,134,134,143,277,0.516245487364621
2025-10-12,140,140,137,277,0.494584837545126
2025-10-26,156,156,123,279,0.440860215053763
2025-11-09,138,138,143,281,0.508896797153025
2025-11-23,165,165,119,284,0.419014084507042
2025-12-07,148,148,137,285,0.480701754385965
2025-12-21,131,131,154,285,0.540350877192982
