scenario,endpoint,lead_min_days,lead_max_days,candidate_policy,baseline_policy,all_events_denominator,candidate_captured,baseline_captured,candidate_capture_rate,baseline_capture_rate,point_difference,percentile_ci_low,percentile_ci_high,ci_level,bootstrap_replicates,eligible_for_confirmatory_test,scenario_order
primary_auto_w60,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,696,263,207,0.3778735632,0.2974137931,0.0804597701,0.0436234753,0.122239897,0.95,5000,True,0
primary_auto_w60,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,696,443,290,0.6364942529,0.4166666667,0.2198275862,0.1525931878,0.284573138,0.95,5000,True,0
strict_centroid250_w60,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,325,111,81,0.3415384615,0.2492307692,0.0923076923,0.0346975874,0.1452533297,0.95,5000,True,1
strict_centroid250_w60,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,325,211,118,0.6492307692,0.3630769231,0.2861538462,0.1773037786,0.3832090679,0.95,5000,True,1
tight_event date60_auto_w60,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,452,200,165,0.4424778761,0.3650442478,0.0774336283,0.0327849701,0.1219512195,0.95,5000,True,2
tight_event date60_auto_w60,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,452,321,239,0.7101769912,0.5287610619,0.1814159292,0.1204545455,0.2276427089,0.95,5000,True,2
minimum event separation30_auto,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,900,343,269,0.3811111111,0.2988888889,0.0822222222,0.0505858785,0.1188662483,0.95,5000,True,3
minimum event separation30_auto,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,900,525,355,0.5833333333,0.3944444444,0.1888888889,0.1331021793,0.2456159256,0.95,5000,True,3
minimum event separation45_auto,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,745,280,219,0.3758389262,0.2939597315,0.0818791946,0.0466921942,0.1225721216,0.95,5000,True,4
minimum event separation45_auto,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,745,460,302,0.6174496644,0.4053691275,0.2120805369,0.1487035586,0.2749109276,0.95,5000,True,4
minimum event separation90_auto,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,621,258,206,0.4154589372,0.3317230274,0.0837359098,0.0427474273,0.1310124495,0.95,5000,True,5
minimum event separation90_auto,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,621,397,275,0.6392914654,0.4428341385,0.1964573269,0.1371057306,0.2533211959,0.95,5000,True,5
leave_one_state_out__CO,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,695,263,206,0.3784172662,0.2964028777,0.0820143885,0.04487,0.1241750068,0.95,5000,True,6
leave_one_state_out__CO,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,695,443,290,0.6374100719,0.4172661871,0.2201438849,0.1534329618,0.2846413488,0.95,5000,True,6
leave_one_state_out__DE,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,657,251,184,0.3820395738,0.2800608828,0.101978691,0.0676587002,0.1385088656,0.95,5000,True,7
leave_one_state_out__DE,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,657,422,266,0.6423135464,0.404870624,0.2374429224,0.1676453177,0.3007534079,0.95,5000,True,7
leave_one_state_out__FL,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,489,196,160,0.4008179959,0.327198364,0.0736196319,0.0242081907,0.1131422502,0.95,5000,True,8
leave_one_state_out__FL,secondary_1_60,1,60,Multi-horizon ranking,Direct 60-day,489,298,225,0.609406953,0.4601226994,0.1492842536,0.0970429336,0.1958333333,0.95,5000,True,8
leave_one_state_out__IA,primary_31_60,31,60,Multi-horizon ranking,Direct 60-day,597,204,155,0.3417085427,0.2596314908,0.0820770519,0.0330856822,0.125,0.95,5000,True,9
