event_id,event_date_bracket_width_days,previous_high_chlorophyll_a_gap_days,prior_nonhigh_chlorophyll_a_count_1_60d,tight_boundary_60d,tight_boundary_90d
events__d4bc74f1bfbe2849607edb97,28.0,,1,True,True
events__74f4852cebc6d59147499354,14.0,3220.0,3,True,True
events__92cee6f30b017eef7a4247db,15.0,225.0,1,True,True
events__2feb5e6f2f550a17f0957c42,14.0,61.0,3,True,True
events__31e800ab4055c04cdcf595ad,14.0,217.0,2,True,True
events__60bbaa6d4683a78f35215bc5,211.0,,0,False,False
events__dc3a7543be530da8a520f8be,83.0,83.0,0,False,False
events__7346fa0578d28fd4e5c1de79,91.0,,0,False,False
events__c16afa5a6bfc554f80e98f6a,29.0,1450.0,2,True,True
events__8c2dee217a689e9462d44a62,27.0,376.0,2,True,True
events__c9dda3f10bbf617ee644833d,14.0,,4,True,True
events__4c1838cdb7bddec93da3e2e2,6.0,,3,True,True
events__57d830fd5b211a2ab9ff67cc,29.0,706.0,3,True,True
events__7a1a2de2c718b871a3bc5471,3052.0,3067.0,0,False,False
events__c100a71cb7878d55e5a3aa0d,14.0,69.0,3,True,True
events__6c0eac9b7895f7e3252621c5,202.0,229.0,0,False,False
events__3fc6654f9b1c18d4490676d4,20.0,232.0,4,True,True
events__007de2cce21e62fdc9ca26d4,34.0,,1,True,True
events__10f0d528b31bb779197dc67e,16.0,354.0,5,True,True
events__6faee43f9c37d2bac9037095,13.0,293.0,6,True,True
events__4c6c485da6c616f78b15f8c6,,,0,False,False
events__251b89d941dadc25b17d8b9e,28.0,416.0,1,True,True
events__a9648f53df902b5278ba404e,26.0,,2,True,True
events__2c0be52afd8dae1681212f87,35.0,,1,True,True
events__472ebe0b535bd514ae9c8c91,29.0,666.0,1,True,True
events__ab787fd28e0e7f2668e78ae3,26.0,3675.0,1,True,True
events__bd15925933c1575c6a57ca74,21.0,,3,True,True
events__2d8aeadba99bdc80cc1e77c8,14.0,,1,True,True
events__cd5fc45773984a0cc8bebaa8,20.0,,1,True,True
events__a67ce10472bec34656c305f4,81.0,663.0,0,False,True
events__ab0d73625be4e49db5b834b4,14.0,78.0,3,True,True
events__0ef901a2b8b7f4fff131c533,267.0,,0,False,False
events__caf5dc44ce36f03edf7bbf2e,23.0,,2,True,True
events__ed97c842593aa940b3c644a5,35.0,,1,True,True
events__a27b441f5f5c2ca2d280c83a,34.0,336.0,1,True,True
events__e335b950953ed1a2281bdb6f,3144.0,3304.0,0,False,False
events__1607b52b980fb5a3e8bb9ba4,224.0,224.0,0,False,False
events__d04a6b731f50111fb826d34c,174.0,174.0,0,False,False
events__5596b2e0c7cc6a3357b306a8,14.0,6529.0,4,True,True
events__8505b85021876c2911a52790,239.0,239.0,0,False,False
events__76add21c053779b228b21ee7,15.0,71.0,4,True,True
events__2ebc21bb79ecf01cd00dd535,17.0,282.0,3,True,True
events__ad82ffa10e6740ff199a7c40,308.0,,0,False,False
events__7b3e3154c16c3646ddc85b69,19.0,1770.0,3,True,True
events__f65252c6546146cd456fa950,27.0,,1,True,True
events__ef77eea58ded8be22052034a,35.0,315.0,1,True,True
events__f30d70980a108fcd3dd3cc82,28.0,300.0,1,True,True
events__599ea3af06499d147bc12cd2,14.0,,4,True,True
events__0d16b16d9da086c5498c7393,7.0,,4,True,True
events__c3730ea0eaa150c10924bdbe,32.0,,2,True,True
events__db2afbbb407c8f322d8714b7,34.0,336.0,1,True,True
events__90dc7044013ecec6f619ef32,33.0,250.0,1,True,True
events__6bb1e6d577154fde738b5b12,28.0,,1,True,True
events__5a20beb3458307a160e86124,45.0,,1,True,True
events__203edced43eaaef1a045125a,22.0,,3,True,True
events__fda974d8ebd84c53117124f9,27.0,338.0,1,True,True
events__87b6f666915b64739ceccb36,,,0,False,False
events__aadfc4a45de4e88e3062d68a,42.0,131.0,1,True,True
events__ba769987069f504063a64283,302.0,,0,False,False
events__f4ac94407aa8297163653a5f,14.0,,3,True,True
events__596b60c18eb825c2317e096d,15.0,4315.0,4,True,True
events__eeaa673288d06fbcd4832ec1,196.0,210.0,0,False,False
events__b7692c026f56b63649687704,3117.0,3173.0,0,False,False
events__097d03edc4f14d1045d4f16c,14.0,68.0,4,True,True
events__58e3ac8983eebada12587e92,27.0,315.0,3,True,True
events__68a26afeb81988ef416e7f15,13.0,294.0,4,True,True
events__23899e26e2387ab0abfe9703,29.0,,1,True,True
events__ce7cbd08cc115badfc65ab7f,69.0,357.0,0,False,True
events__f55c57b604b955cf3c50cf37,294.0,,0,False,False
events__a39eaa15b8ecff481b7b6604,196.0,,0,False,False
events__25e1a18e41d20ecf496b4b23,91.0,91.0,0,False,False
events__b4648ce389227a2a9214a07c,259.0,3942.0,0,False,False
events__baaab45a5c11a00dfa7b37f7,26.0,,1,True,True
events__aaa5f43c3798a39d1d2ee82d,28.0,,1,True,True
events__1c9c47d3ed54e4dc6a5ec2f5,28.0,700.0,1,True,True
events__43907f52661d3db69423c006,4.0,,6,True,True
events__b966b7033532e8dfaa3ea2f9,35.0,336.0,1,True,True
events__cde55eff8e3197799171a6aa,22.0,4054.0,2,True,True
events__3357f577e80c74ce9a8804ff,,,0,False,False
events__48a4c23204522e4cb9f5d7f1,28.0,855.0,2,True,True
events__ba60d4e3ea0441e86e51b611,19.0,,2,True,True
events__4ee56522cae45cc9b9274a1c,16.0,5828.0,4,True,True
events__0a732ce0b91cc585ebeedc8e,15.0,1050.0,4,True,True
events__4aafd8eb10498fa7bdfbd9b1,15.0,275.0,4,True,True
events__3bc60485015574097e9512b5,15.0,349.0,4,True,True
events__80de8ebbf6441a2cf50ddc4f,15.0,5789.0,3,True,True
events__d68a45334b6752a9d9aff49b,14.0,,4,True,True
events__1c4da6ae905575aa8aab4ce3,19.0,355.0,2,True,True
events__ac085162f1f1d1cfa3c0d511,,,0,False,False
events__3b2f7964e1e230957c1f7dff,245.0,733.0,0,False,False
events__2d5212f97076f28b2ec02141,28.0,91.0,1,True,True
events__c13f3ae8a0fb11c1cdcfb595,26.0,,2,True,True
events__f15b9290850c19511a94d0d7,13.0,4018.0,4,True,True
events__ab2e1eb67b425f98c1e83275,3117.0,4259.0,0,False,False
events__a3351fd4cf5116c1f35a95f6,26.0,,1,True,True
events__c92622221c94a538b10d2f60,,,0,False,False
events__084f61c88ae71b083c597ec9,27.0,391.0,1,True,True
events__f7f89cf4e9efdcb87c282bb1,28.0,6192.0,1,True,True
events__b2a91ecfe49a37c254f6b79c,34.0,336.0,1,True,True
events__50c665d33602a95498b0384e,29.0,342.0,1,True,True
events__cb4f23a6749433bf7e2550e1,15.0,,4,True,True
events__0532c5a5f6e06ce6a9c0ad4a,14.0,1771.0,4,True,True
