bootstrap_draw,total_event_copies,multi_horizon_captured_events,matched_60_day_base_captured_events,event_coverage_difference
0,778,294,303,-0.0115681233933161
1,630,243,247,-0.0063492063492063
2,727,287,286,0.0013755158184319
3,655,256,262,-0.0091603053435114
4,805,287,307,-0.0248447204968944
5,646,260,265,-0.0077399380804953
6,662,250,254,-0.0060422960725075
7,739,274,281,-0.0094722598105548
8,750,301,304,-0.004
9,671,265,274,-0.0134128166915052
10,626,243,247,-0.0063897763578274
11,704,281,291,-0.0142045454545454
12,698,259,276,-0.0243553008595988
13,706,264,267,-0.0042492917847025
14,670,242,256,-0.0208955223880597
15,723,287,300,-0.0179806362378976
16,734,279,290,-0.0149863760217983
17,650,259,264,-0.0076923076923076
18,757,279,293,-0.0184940554821664
19,616,236,244,-0.0129870129870129
20,732,270,278,-0.0109289617486338
21,687,251,268,-0.024745269286754
22,667,263,272,-0.0134932533733133
23,697,265,273,-0.0114777618364418
24,646,264,272,-0.0123839009287925
25,711,280,291,-0.0154711673699015
26,702,268,279,-0.0156695156695156
27,658,244,263,-0.0288753799392097
28,671,250,262,-0.0178837555886736
29,685,235,252,-0.0248175182481751
30,698,261,271,-0.0143266475644699
31,796,298,313,-0.0188442211055276
32,646,265,271,-0.0092879256965944
33,754,290,302,-0.0159151193633952
34,748,284,289,-0.0066844919786096
35,629,230,240,-0.0158982511923688
36,767,276,288,-0.0156453715775749
37,705,282,295,-0.0184397163120567
38,719,282,293,-0.015299026425591
39,678,240,251,-0.0162241887905604
40,677,282,288,-0.0088626292466765
41,674,252,259,-0.0103857566765578
42,704,264,272,-0.0113636363636363
43,657,260,268,-0.0121765601217656
44,690,263,273,-0.0144927536231884
45,674,265,270,-0.0074183976261127
46,705,261,264,-0.0042553191489361
47,795,320,333,-0.0163522012578616
48,678,268,282,-0.0206489675516224
49,722,278,281,-0.0041551246537396
50,679,259,273,-0.0206185567010309
51,643,247,248,-0.0015552099533437
52,640,251,266,-0.0234375
53,739,277,291,-0.0189445196211096
54,736,280,294,-0.0190217391304347
55,739,273,283,-0.013531799729364
56,745,284,288,-0.0053691275167785
57,651,283,286,-0.0046082949308755
58,663,269,272,-0.004524886877828
59,700,266,275,-0.0128571428571428
60,750,267,270,-0.004
61,598,222,227,-0.0083612040133779
62,654,259,266,-0.010703363914373
63,684,251,259,-0.0116959064327485
64,649,256,255,0.0015408320493066
65,788,292,305,-0.016497461928934
66,711,263,275,-0.0168776371308016
67,790,305,310,-0.0063291139240506
68,725,275,280,-0.0068965517241379
69,604,232,250,-0.0298013245033112
70,691,263,273,-0.0144717800289435
71,712,281,286,-0.0070224719101123
72,674,261,268,-0.0103857566765578
73,597,236,239,-0.0050251256281407
74,746,252,269,-0.0227882037533512
75,677,233,238,-0.0073855243722304
76,692,282,290,-0.0115606936416184
77,732,292,310,-0.0245901639344262
78,710,275,287,-0.0169014084507042
79,669,270,278,-0.0119581464872944
80,650,261,271,-0.0153846153846153
81,691,267,283,-0.0231548480463096
82,721,277,283,-0.0083217753120665
83,697,273,279,-0.0086083213773314
84,682,286,288,-0.002932551319648
85,697,263,263,0.0
86,611,233,243,-0.0163666121112929
87,712,266,278,-0.0168539325842696
88,726,268,276,-0.0110192837465564
89,738,312,324,-0.016260162601626
90,726,280,289,-0.012396694214876
91,674,252,254,-0.0029673590504451
92,771,287,292,-0.0064850843060959
93,729,281,292,-0.0150891632373113
94,670,255,263,-0.0119402985074626
95,634,266,271,-0.0078864353312302
96,617,257,265,-0.012965964343598
97,703,268,276,-0.011379800853485
98,675,279,282,-0.0044444444444444
99,670,251,263,-0.017910447761194
100,775,294,304,-0.0129032258064516
101,686,258,265,-0.010204081632653
102,713,272,283,-0.0154277699859747
103,723,302,316,-0.0193637621023513
104,812,317,322,-0.0061576354679802
105,683,272,287,-0.0219619326500732
106,727,264,272,-0.0110041265474552
107,652,259,268,-0.013803680981595
108,708,255,268,-0.0183615819209039
109,733,271,288,-0.0231923601637107
110,731,295,305,-0.0136798905608755
111,693,267,269,-0.0028860028860028
112,697,258,262,-0.0057388809182209
113,764,306,308,-0.0026178010471204
114,735,294,311,-0.0231292517006802
115,667,256,268,-0.0179910044977511
116,722,261,272,-0.0152354570637119
117,678,267,280,-0.0191740412979351
118,657,256,257,-0.0015220700152207
119,707,282,285,-0.0042432814710042
120,642,253,262,-0.014018691588785
121,711,262,274,-0.0168776371308016
122,766,301,302,-0.0013054830287206
123,748,298,306,-0.0106951871657754
124,627,251,266,-0.0239234449760765
