path,column,dtype,definition_reference
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,bootstrap_draw,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,stratum,string,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,endpoint,string,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,event_copies,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,multi_horizon_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,direct_60_day_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,historical_risk_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/bootstrap_10pct_draws.parquet,difference_pp,double,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,capacity_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,capacity_fraction,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,captured_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,coverage_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,selected_slots,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_coverage.csv,analysis_role,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,capacity_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,multi_horizon_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,direct_60_day_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,ci_low_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,ci_high_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/capacity_differences.csv,ci_source,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,multi_horizon_output,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,matched_60_day_base,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,feature_set_id,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,target_contrast,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,all_events_denominator,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,multi_horizon_captured_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,matched_60_day_base_captured_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,multi_horizon_event_coverage,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,matched_60_day_base_event_coverage,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,interval_low_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,interval_high_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,bootstrap_replicates,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,bootstrap_seed,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/component_control.csv,evidence_tier,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_event_coverage.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_event_coverage.csv,selected_rows,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_event_coverage.csv,captured_events_1_60,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_event_coverage.csv,captured_events_31_60,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,group,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,rows,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,positive_rows,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,prevalence,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,auprc,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,auroc,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,brier,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,log_loss,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,mean_probability,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,calibration_intercept,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/development_probability_metrics.csv,calibration_slope,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,comparator,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,captured_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,comparator_captured_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,ci_low_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,ci_high_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,analysis_role,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,bootstrap_replicates,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,policy_name_en,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/endpoint_comparisons.csv,comparator_name_en,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,lake_id,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,event_date,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,event_chla_ug_l,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,previous_severe_gap_days,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,washout_days,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,episode_id,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,year,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,state,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,ecoregion,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,prior_observation_count_all_history,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,prior_observation_count_1_60d,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,prior_nonsevere_count_1_60d,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,prior_observation_count_31_60d,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,prior_nonsevere_count_31_60d,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,previous_observation_date,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,previous_observation_chla_ug_l,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,previous_observation_nonsevere,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,onset_bracket_width_days,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,candidate_origins_1_60d,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,candidate_coverage_1_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,candidate_coverage_1_30d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,candidate_coverage_31_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,observed_precursor_coverage_1_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,observed_nonsevere_precursor_coverage_1_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,observed_precursor_coverage_31_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,observed_nonsevere_precursor_coverage_31_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,boundary_confirmed_by_immediate_prior_nonsevere,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,event_source_period,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,tight_boundary_60d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,tight_boundary_90d,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,support_stratum,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__primary_31_60__multi_horizon,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__primary_31_60__direct_60_day,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__primary_31_60__historical_risk,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__secondary_1_60__multi_horizon,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__secondary_1_60__direct_60_day,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/event_capture_10pct.csv,captured__secondary_1_60__historical_risk,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,baseline_policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,capacity_percent,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,policy_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,historical_risk_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,policy_coverage_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,historical_risk_coverage_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,ci_low_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,ci_high_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,bootstrap_replicates,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,bootstrap_seed,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_comparisons.csv,analysis_role,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,lake_id,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,history_day_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,high_chla_day_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,latest_sample_date,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,latest_available_date,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/historical_risk_lake_scores.csv,historical_risk,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_lakes.csv,lake_id,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_lakes.csv,observation_day_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_lakes.csv,stratum,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_lakes.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,stratum,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,candidate_lake_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,event_lake_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,event_n,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,observation_day_min,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,observation_day_max,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,multi_horizon_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,direct_60_day_captured,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,multi_horizon_coverage_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,direct_60_day_coverage_percent,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,net_covered_events,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,contribution_to_overall_difference_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,ci_low_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,ci_high_pp,float64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,valid_bootstrap_replicates,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/monitoring_support_strata_results.csv,analysis_role,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/origin_capacity_audit.csv,origin_date,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/origin_capacity_audit.csv,eligible_candidates,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/origin_capacity_audit.csv,capacity_10pct,int64,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/origin_capacity_audit.csv,both_formal_queues_exact,bool,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/point_estimates.csv,endpoint,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/point_estimates.csv,policy,object,07_metadata/data_dictionary.md
04_analysis_data/strategy_evaluation/point_estimates.csv,name_en,object,07_metadata/data_dictionary.md
