Scenario,Events,31–60-day difference (pp; 95% CI),1–60-day difference (pp; 95% CI)
Standard linkage; 60-day separation,696,8.05 (4.36–12.22),21.98 (15.26–28.46)
Unique centroid within 250 m,325,9.23 (3.47–14.53),28.62 (17.73–38.32)
Better-constrained event dates (interval ≤60 days),452,7.74 (3.28–12.20),18.14 (12.05–22.76)
30-day minimum event separation,900,8.22 (5.06–11.89),18.89 (13.31–24.56)
45-day minimum event separation,745,8.19 (4.67–12.26),21.21 (14.87–27.49)
90-day minimum event separation,621,8.37 (4.27–13.10),19.65 (13.71–25.33)
Excluding CO,695,8.20 (4.49–12.42),22.01 (15.34–28.46)
Excluding DE,657,10.20 (6.77–13.85),23.74 (16.76–30.08)
Excluding FL,489,7.36 (2.42–11.31),14.93 (9.70–19.58)
Excluding IA,597,8.21 (3.31–12.50),22.11 (15.12–29.42)
Excluding IL,680,8.24 (4.37–12.35),22.06 (15.26–28.73)
Excluding KS,695,7.91 (4.38–12.16),22.01 (15.09–28.40)
Excluding MN,388,9.28 (2.40–14.35),27.84 (15.91–37.28)
Excluding MO,692,8.24 (4.51–12.44),21.97 (15.16–28.37)
Excluding NC,690,8.12 (4.71–12.77),22.03 (15.46–28.83)
Excluding ND,693,8.23 (4.33–12.00),22.22 (14.74–28.09)
Excluding NE,686,8.16 (4.37–12.15),22.89 (15.62–28.89)
Excluding VA,695,8.49 (4.54–12.74),21.44 (15.42–28.78)
Excluding VT,695,8.06 (4.47–12.46),22.01 (15.17–28.32)
Excluding 2025,572,9.09 (4.96–13.75),22.38 (15.11–28.92)
Candidates with field monitoring during evaluation only,696,8.33 (4.19–11.81),20.55 (14.45–27.27)
